DistrictName,DistrictNo,Npop,longitude,latitude,HDI,green_area,neigh_name_compare,,,
Vila Militar,134,13184,-43.24241371,-22.8598098,0.798,0.425999402,VILA MILITAR,,,
Campo dos Afonsos,135,1365,-43.40331417,-22.86150079,0.798,0.122309072,CAMPO DOS AFONSOS,,,
Jardim Sulacap,136,13062,-43.2283061,-22.85411613,0.762,0.673332675,JARDIM SULACAP,,,
Magalhães Bastos,137,24430,-43.34649985,-22.84996523,0.904,0.008565474,MAGALHAES BASTOS,,,
Realengo,138,180123,-43.25626246,-22.85209004,0.85,0.527090558,REALENGO,,,
Padre Miguel,139,64228,-43.30349803,-22.85403245,0.867,0.107756606,PADRE MIGUEL,,,
Bangu,140,243125,-43.37073735,-22.85931236,0.807,0.52125594,BANGU,,,
Senador Camará,141,105515,-43.31565437,-22.85719425,0.807,0.584448696,SENADOR CAMARA,,,
Gericino,159,15167,-43.2458316,-22.88056984,0.839,0.357699295,GERICINO,,,
Santíssimo,142,41458,-43.63874324,-22.89347797,0.833,0.404179625,SANTISSIMO,,,
Campo Grande,143,328370,-43.29425622,-22.86305079,0.831,0.539762121,CAMPO GRANDE,,,
Senador Vasconcelos,144,30600,-43.27364169,-22.86134155,0.807,0.479352244,SENADOR VASCONCELOS,,,
Inhoaíba,145,64649,-43.3284338,-22.85850745,0.812,0.272995062,INHOAIBA,,,
Cosmos,146,77007,-43.4496832,-22.87906843,0.815,0.327173949,COSMOS,,,
Guaratiba,150,110049,-43.30605292,-22.86718676,0.829,0.697224613,GUARATIBA,,,
Barra de Guaratiba,151,3577,-43.52035216,-22.87440252,0.814,0.693142195,BARRA DE GUARATIBA,,,
Pedra de Guaratiba,152,9488,-43.33660774,-22.87237998,0.859,0.216846539,PEDRA DE GUARATIBA,,,
Paciência,147,94626,-43.36071405,-22.86705353,0.804,0.502615175,PACIENCIA,,,
Santa Cruz,148,217333,-43.34213879,-22.86172377,0.855,0.589135442,SANTA CRUZ,,,
Sepetiba,149,56575,-43.28182541,-22.87194942,0.851,0.21995929,SEPETIBA,,,
